Sample_ID	Collection_Site	Host_Habitat	Host_Species	Host_Species_Strain	Gender	Year_Collected	Sequencing_Depth
OP2459	DRC_Opienge	Eastern_Congo	gorilla	G.b.g.	unknown	2008	13675
OP2460	DRC_Opienge	Eastern_Congo	gorilla	G.b.g.	unknown	2008	12463
OP2345	DRC_Opienge	Eastern_Congo	gorilla	G.b.g.	unknown	2007	12280
OP2347	DRC_Opienge	Eastern_Congo	gorilla	G.b.g.	unknown	2007	12239
OP2456	DRC_Opienge	Eastern_Congo	gorilla	G.b.g.	unknown	2008	13846
KSG1471	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	17372
KSG1507	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	9039
KE1474	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	11305
KE1475	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	14391
KE2564	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2008	15046
KE2565	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2008	14160
KE2581	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2008	14245
KE2263	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	11343
KE2265	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	13870
KE2268	DRC_Kasese	Eastern_Congo	gorilla	G.b.g.	unknown	2007	17187
