	DG408	DG426	DG432	EK520	LB01	LB03	LB06	LB10	LB13	LB178	LB179	BB231	BB232	ME2528	ME2530	MT334	MT348	WE457	WE458	WE464	CP469	CP470	BB089	BB095	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KE1474	KE1475	KE2263	KE2265	KE2268	KE2564	KE2565	KE2581	KSG1471	KSG1507	LU2555	LU2556	OP1909	OP1910	OP1911	OP2345	OP2346	OP2347	OP2456	OP2459	OP2460	GM173	GM7	GM9	GM10	GM11	GM15	GM20	GM41	GM1435	GM1436	GM1437	GM1438	GM1440	GM1442	GM1446	GM1448	GM1455	GM1457	GM1459	GM1467	GM1468	GM1474	GM1476	GM1480	GM1482	GM1485	GM1494	GM1496	GM1497	GM1500	GM1501	GM1502	GM1504	GM1507	GM1509
OTU_36354	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.72105906516651	-4	-4	-4	-4	-4	-4	-4	-4	-3.42364907670232	-4	-4	-4	-4	-4	-4	-4	-4	-2.6530694372181	-2.75258923067254	-4	-4	-4	-2.00276650212116	-2.14495677603349	-1.8305661496748	-3.07143484327717	-3.18498139357668	-4	-4	-3.26626662469838	-3.47345992044774	-3.16836263745208	-3.58026484075512	-3.33567431650045	-3.29368332859826	-3.41017088041115	-3.08026237212832	-3.74415483791186	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.76107257974176	-4	-4	-4	-4	-4	-4	-3.69453850202499	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36361	-2.81011921495695	-2.83584127761211	-2.68798786092182	-3.59069369859357	-4	-4	-4	-2.88568564220833	-3.12926243593656	-2.61144829844532	-3.4104968812003	-1.97676775083365	-4	-3.12445849418174	-2.95702460725227	-4	-4	-3.84125546073918	-3.83767145985766	-4	-4	-3.93104548118311	-1.86424265914785	-3.15019640091722	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.76796632340466	-4	-3.80254328936592	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36393	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.71549568429647	-2.62592698704384	-4	-4	-4	-3.67612254513508	-2.89031987953392	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.74103842794122	-3.15096430688149	-3.5326156821776	-4	-4	-3.69278201003674	-4	-4	-4	-4	-4	-2.64547626607373	-2.77395000341888	-3.75192466811208	-2.39078966408773	-4	-4	-2.977337203221	-3.45937129968756	-3.31829078766756	-2.45598968336491	-2.43520929091177	-4	-4	-3.39130959765293	-4	-4	-3.25460304629267	-2.00525728630676	-3.43870072793462	-4	-4	-3.21014049894377	-4	-4
OTU_36394	-3.148833986991	-3.4686681864597	-3.62092515967444	-4	-4	-4	-4	-4	-4	-3.71250851976391	-4	-4	-4	-3.17426493416951	-2.60307009140595	-4	-4	-4	-3.96231773861128	-4	-4	-4	-3.39294754767257	-4	-4	-4	-4	-4	-4	-3.2657746699141	-3.51079604465963	-3.34424669093764	-3.76422404206653	-4	-2.88728400924777	-2.51341344478233	-2.86531260499756	-4	-4	-4	-4	-4	-4	-4	-3.23018022291625	-3.61142733470708	-4	-3.49939434775272	-3.26860719048351	-3.29999975614317	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36458	-4	-4	-4	-4	-4	-2.59493584349852	-2.47402936155178	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.18442974313742	-4	-3.92764559840983	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.61906528302958	-4	-4	-4	-4	-4	-4	-3.8017177962105	-2.85296350371459	-2.65804163340145	-2.59325878741334	-2.77239438169365	-2.87187728648905	-2.58714270494237	-4	-4	-4	-4	-4	-4	-4	-3.76819459877032	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36462	-4	-4	-4	-4	-3.54800887633912	-2.78299747706485	-3.18571298601003	-3.60181880171404	-4	-4	-4	-4	-2.45686939499098	-4	-4	-1.93651484841017	-1.69152587912325	-3.02760834128719	-2.7825213045335	-2.67893712848139	-2.08095089730967	-2.52671560225869	-1.6827915375425	-2.13305568081617	-1.57859525518283	-2.00869976649474	-2.49951308639804	-1.86405079283031	-1.64157162987899	-3.34311087473537	-3.77086136698503	-3.43832594464401	-3.76422404206653	-3.66480893318944	-2.93426886639112	-3.02344020375572	-2.5922688546635	-3.48114983094678	-3.67647625252771	-4	-4	-3.06694541953219	-3.06172800424362	-3.04091497778168	-2.93605451029141	-3.01412788792127	-2.60739543112863	-2.47495051148673	-3.33195838136982	-3.0850555276471	-1.89512893149098	-1.79248301229795	-1.79975357746155	-2.57374509159393	-2.11384565474383	-2.01011490200622	-2.42982925416417	-2.195361036222	-2.7794296288926	-1.9128242887314	-1.95220052982333	-3.15452949471257	-2.05294251521855	-1.93922070252085	-2.00439346494876	-2.52994895262443	-2.69030335273719	-2.62453863565447	-2.51330463948513	-2.23033722224697	-2.74478361896062	-2.03940248994646	-2.71283252844533	-2.32160732476747	-2.78760770043609	-2.8991333377581	-1.99470490698679	-2.24480726964266	-2.38229082811214	-3.43870072793462	-2.62619260607306	-2.1984613101374	-1.61083940794142	-1.95904844182786	-2.99987294615226
OTU_36468	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.69739805396222	-3.77939485617681	-3.96231773861128	-4	-4	-4	-4	-3.88478474256715	-2.96284078456211	-2.54533689557311	-3.19312303192092	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.89966313926081	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.76107257974176	-4	-4	-3.55451585256761	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36479	-4	-3.37690949011961	-3.62092515967444	-3.47502779101349	-4	-4	-4	-3.75678965935107	-4	-1.78431237203017	-2.35369389522624	-3.33693270368825	-4	-3.07978088162303	-2.36951839916347	-4	-4	-3.67712597288811	-3.57978706078298	-4	-4	-4	-3.20330771843537	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.41072948552733	-3.56137770981623	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.12409078095609	-3.4989432152109	-4	-3.33619063370017	-2.89619002745908	-3.0850555276471	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_36488	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.79381505896552	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.58414804991948	-3.76707419311101	-3.59464490852187	-4	-4	-3.7493643775014	-4	-3.2882936602967	-4	-3.71419552931051	-4	-3.59253229614864	-3.29467935661281	-4	-3.26751893958656	-4	-3.75423201060803	-4	-4	-3.70621088345979	-3.42640361547383	-3.39130959765293	-3.70600429647061	-2.97693692951177	-3.35427378399043	-4	-4	-3.23896354726147	-3.66674057278761	-4	-4	-4
OTU_36633	-4	-3.74482010981028	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.46336432804951	-3.47925974629291	-3.71549568429647	-4	-2.57522442670426	-2.98946705059193	-3.69957674255931	-4	-4	-3.62257389919576	-4	-4	-4	-4	-4	-4	-4	-3.77086136698503	-4	-3.76422404206653	-4	-4	-4	-4	-3.80254328936592	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
